Column Name,Purpose,Format,Pattern,Example,Max Words,Max Items,Max Steps,Max Skills,Max Hashtags,Max Words per Step,Options,Color Code,Customer Facing,Rules,Quality Standards
METADATA INFO,This sheet contains standards and rules for all 29 columns in the Essential Growth Activities dataset,Reference document,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Created on 2025-09-27 13:36:47; Use this as reference for creating new activities; All standards are maximum limits only (no minimums); Quality standards must be followed for consistency; Color coding: Green = Customer-facing, Red = Admin-facing","Comprehensive, clear, actionable"
Activity ID,Unique identifier for each activity,kebab-case with descriptive elements,pillar-agegroup-category-topicnumber,play-creativity-infant-0-1-sensory-exploration-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🔴 Admin (Red),No,"Must be unique across all activities; Use lowercase letters and hyphens only; Include pillar, age group, category, and topic number; No spaces or special characters; Should be descriptive and searchable","Unique, descriptive, searchable"
Pillar,Main category of the activity,Title Case,N/A,Play & Creativity,N/A,N/A,N/A,N/A,N/A,N/A,"Play & Creativity, Cognitive Skills",🟢 Customer (Green),Yes,Must be one of the predefined options; Use proper title case; No abbreviations or variations; Consistent across all activities,"Consistent, predefined options only"
Age Group,Target age range for the activity,Age Range (Description),N/A,Infant (0-1),N/A,N/A,N/A,N/A,N/A,N/A,"Infant (0-1), Toddler (1-3), Preschooler (3-5), Child (6-8), Pre-Teen (9-12), Teen (13-18)",🟢 Customer (Green),Yes,Must be one of the predefined options; Include both age range and description; Use consistent formatting; No variations or abbreviations,"Consistent, predefined options only"
Difficulty Level,How challenging the activity is,Single word,N/A,Beginner,N/A,N/A,N/A,N/A,N/A,N/A,"Beginner, Intermediate, Advanced",🟢 Customer (Green),Yes,"Must be one of the predefined options; Based on age group: Infant/Toddler = Beginner, Preschooler/Child = Intermediate, Pre-Teen/Teen = Advanced; No variations or descriptions; Consistent across similar age groups","Age-appropriate, consistent"
Activity Type,Category of the activity,Single word,N/A,Sensory,N/A,N/A,N/A,N/A,N/A,N/A,"Sensory, Physical, Cognitive, Creative, Social, Emotional",🟢 Customer (Green),Yes,Must be one of the predefined options; Based on the main focus of the activity; No variations or descriptions; Consistent with activity content,"Consistent, activity-focused"
Category,Specific subcategory within the pillar,Title Case,N/A,Sensory Exploration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🟢 Customer (Green),Yes,Must be descriptive and specific; Use proper title case; No abbreviations; Should clearly indicate the activity focus; Consistent within each pillar,"Descriptive, specific, consistent"
Category Description,Brief explanation of what this category covers,Sentence or phrase,N/A,Stimulate tactile senses through safe material exploration,15,N/A,N/A,N/A,N/A,N/A,N/A,🟢 Customer (Green),Yes,"Must be clear and descriptive; Explain what skills or concepts are developed; Use simple, parent-friendly language; No jargon or technical terms; Should match the category name; Maximum 15 words","Clear, descriptive, parent-friendly"
Topic Number,Sequential number within the category,Integer,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,🔴 Admin (Red),No,Must be a positive integer; Sequential within each category; Start from 1 for each category; No gaps in numbering; Consistent across all activities,"Sequential, consistent, no gaps"
Topic,Name of the specific activity,Title Case,N/A,Texture Tray Adventure,6,N/A,N/A,N/A,N/A,N/A,N/A,🟢 Customer (Green),Yes,Must be descriptive and engaging; Use proper title case; No abbreviations or acronyms; Should clearly indicate what the activity is; Avoid generic terms like 'Activity' or 'Game'; Make it appealing to parents and children; Maximum 6 words,"Descriptive, engaging, appealing"
Activity Name,Full descriptive name of the activity,Title Case,N/A,Texture Tray Adventure,8,N/A,N/A,N/A,N/A,N/A,N/A,🟢 Customer (Green),Yes,Must be more descriptive than Topic; Use proper title case; Should include the main action or focus; No abbreviations or acronyms; Make it clear what the child will do; Should be engaging and appealing; Maximum 8 words,"Descriptive, clear, engaging"
Objective,What the activity aims to achieve,Sentence,N/A,Stimulate tactile senses through safe material exploration,15,N/A,N/A,N/A,N/A,N/A,N/A,🟢 Customer (Green),Yes,"Must be clear and specific; Focus on what the child will learn or develop; Use action verbs (develop, improve, enhance, build); No jargon or technical terms; Should be measurable or observable; Parent-friendly language; Maximum 15 words","Clear, specific, measurable"
Explanation,Brief description of what the activity involves,Sentence or short paragraph,N/A,"Provide a tray with different safe materials (e.g., silk, sponge). Baby explores textures with hands.",25,N/A,N/A,N/A,N/A,N/A,N/A,🟢 Customer (Green),Yes,"Must be clear and engaging; Describe what the child will do; Use simple, parent-friendly language; No jargon or technical terms; Should make parents want to try it; Include the main materials or actions; Be specific and actionable; Maximum 25 words","Clear, engaging, actionable"
